date,volume,traff_imputed
2020-01-01,153968.0,1
2020-01-02,153968.0,1
2020-01-03,153968.0,1
2020-01-04,153968.0,1
2020-01-05,153968.0,1
2020-01-06,153968.0,1
2020-01-07,153968.0,1
2020-01-08,153968.0,1
2020-01-09,153968.0,1
2020-01-10,153968.0,1
2020-01-11,153968.0,1
2020-01-12,153968.0,1
2020-01-13,153968.0,1
2020-01-14,153968.0,1
2020-01-15,153968.0,1
2020-01-16,153968.0,1
2020-01-17,153968.0,1
2020-01-18,153968.0,1
2020-01-19,153968.0,1
2020-01-20,153968.0,1
2020-01-21,153968.0,1
2020-01-22,153968.0,1
2020-01-23,153968.0,1
2020-01-24,153968.0,1
2020-01-25,153968.0,1
2020-01-26,153968.0,1
2020-01-27,153968.0,1
2020-01-28,153968.0,1
2020-01-29,153968.0,1
2020-01-30,153968.0,1
2020-01-31,153968.0,1
2020-02-01,153968.0,1
2020-02-02,153968.0,1
2020-02-03,153968.0,1
2020-02-04,153968.0,1
2020-02-05,153968.0,1
2020-02-06,153968.0,1
2020-02-07,153968.0,1
2020-02-08,153968.0,1
2020-02-09,153968.0,1
2020-02-10,153968.0,1
2020-02-11,153968.0,1
2020-02-12,153968.0,1
2020-02-13,153968.0,1
2020-02-14,153968.0,1
2020-02-15,153968.0,1
2020-02-16,153968.0,1
2020-02-17,153968.0,1
2020-02-18,153968.0,1
2020-02-19,153968.0,1
2020-02-20,153968.0,1
2020-02-21,153968.0,1
2020-02-22,153968.0,1
2020-02-23,153968.0,1
2020-02-24,153968.0,1
2020-02-25,153968.0,1
2020-02-26,153968.0,1
2020-02-27,153968.0,1
2020-02-28,153968.0,1
2020-02-29,153968.0,1
2020-03-01,153968.0,1
2020-03-02,153968.0,1
2020-03-03,153968.0,1
2020-03-04,153968.0,1
2020-03-05,153968.0,1
2020-03-06,153968.0,1
2020-03-07,153968.0,1
2020-03-08,153968.0,1
2020-03-09,153968.0,1
2020-03-10,153968.0,1
2020-03-11,153968.0,1
2020-03-12,153968.0,1
2020-03-13,153968.0,1
2020-03-14,153968.0,1
2020-03-15,153968.0,1
2020-03-16,153968.0,1
2020-03-17,153968.0,1
2020-03-18,153968.0,1
2020-03-19,153968.0,1
2020-03-20,153968.0,1
2020-03-21,153968.0,1
2020-03-22,153968.0,1
2020-03-23,153968.0,1
2020-03-24,153968.0,1
2020-03-25,153968.0,1
2020-03-26,153968.0,1
2020-03-27,153968.0,1
2020-03-28,153968.0,1
2020-03-29,153968.0,1
2020-03-30,153968.0,1
2020-03-31,153968.0,1
2020-04-01,153968.0,1
2020-04-02,153968.0,1
2020-04-03,153968.0,1
2020-04-04,153968.0,1
2020-04-05,153968.0,1
2020-04-06,153968.0,1
2020-04-07,153968.0,1
2020-04-08,153968.0,1
2020-04-09,153968.0,1
2020-04-10,153968.0,1
2020-04-11,153968.0,1
2020-04-12,153968.0,1
2020-04-13,153968.0,1
2020-04-14,153968.0,1
2020-04-15,153968.0,1
2020-04-16,153968.0,1
2020-04-17,153968.0,1
2020-04-18,153968.0,1
2020-04-19,153968.0,1
2020-04-20,153968.0,1
2020-04-21,153968.0,1
2020-04-22,153968.0,1
2020-04-23,153968.0,1
2020-04-24,153968.0,1
2020-04-25,153968.0,1
2020-04-26,153968.0,1
2020-04-27,153968.0,1
2020-04-28,153968.0,1
2020-04-29,153968.0,1
2020-04-30,153968.0,1
2020-05-01,153968.0,1
2020-05-02,153968.0,1
2020-05-03,153968.0,1
2020-05-04,153968.0,1
2020-05-05,153968.0,1
2020-05-06,153968.0,1
2020-05-07,153968.0,1
2020-05-08,153968.0,1
2020-05-09,153968.0,1
2020-05-10,153968.0,1
2020-05-11,153968.0,1
2020-05-12,153968.0,1
2020-05-13,153968.0,1
2020-05-14,153968.0,1
2020-05-15,153968.0,1
2020-05-16,153968.0,1
2020-05-17,153968.0,1
2020-05-18,153968.0,1
2020-05-19,153968.0,1
2020-05-20,153968.0,1
2020-05-21,153968.0,1
2020-05-22,153968.0,1
2020-05-23,153968.0,1
2020-05-24,153968.0,1
2020-05-25,153968.0,1
2020-05-26,153968.0,1
2020-05-27,153968.0,1
2020-05-28,153968.0,1
2020-05-29,153968.0,1
2020-05-30,153968.0,1
2020-05-31,153968.0,1
2020-06-01,153968.0,1
2020-06-02,153968.0,1
2020-06-03,153968.0,1
2020-06-04,153968.0,1
2020-06-05,153968.0,1
2020-06-06,153968.0,1
2020-06-07,153968.0,1
2020-06-08,153968.0,1
2020-06-09,153968.0,1
2020-06-10,153968.0,1
2020-06-11,153968.0,1
2020-06-12,153968.0,1
2020-06-13,153968.0,1
2020-06-14,153968.0,1
2020-06-15,153968.0,1
2020-06-16,153968.0,1
2020-06-17,153968.0,1
2020-06-18,153968.0,1
2020-06-19,153968.0,1
2020-06-20,153968.0,1
2020-06-21,153968.0,1
2020-06-22,153968.0,1
2020-06-23,153968.0,1
2020-06-24,153968.0,1
2020-06-25,153968.0,1
2020-06-26,153968.0,1
2020-06-27,153968.0,1
2020-06-28,153968.0,1
2020-06-29,153968.0,1
2020-06-30,153968.0,1
2020-07-01,153968.0,1
2020-07-02,153968.0,1
2020-07-03,153968.0,1
2020-07-04,153968.0,1
2020-07-05,153968.0,1
2020-07-06,153968.0,1
2020-07-07,153968.0,1
2020-07-08,153968.0,1
2020-07-09,153968.0,1
2020-07-10,153968.0,1
2020-07-11,153968.0,1
2020-07-12,153968.0,1
2020-07-13,153968.0,1
2020-07-14,153968.0,1
2020-07-15,153968.0,1
2020-07-16,153968.0,1
