date,plant_nox_weighted,avg_wind_speed,precipitation,avg_rel_humid,avg_temp,site_nox,pop_density,traffic_vol,traff_imputed,site_nox_lag1,site_nox_3day_avg,site_nox_7day_avg,plant_nox_X_wind
2022-04-18,0.9542316457498866,5.7,23.4,0.5,7.9,30.633333,8116.790163932285,164944.0,1,11.133333,15.931944333333314,27.559353714285713,5.439120380774354
2022-04-19,1.069070086508655,8.8,29.0,0.58,7.6,14.3125,8116.790163932285,164944.0,1,30.633333,17.895832999999982,28.373044142857143,9.407816761276166
2022-04-20,0.8587600423836077,5.5,0.0,0.41,9.4,23.908333,8116.790163932285,164944.0,1,14.3125,18.693055333333316,25.097448857142858,4.723180233109843
2022-04-21,0.7167698980741802,5.4,0.0,0.59,10.6,29.2875,8116.790163932285,164944.0,1,23.908333,22.951388666666645,21.205782142857142,3.8705574496005735
2022-04-22,0.6068245456394217,4.8,0.0,0.39,14.6,40.65,8116.790163932285,164944.0,1,29.2875,22.502777666666645,20.84821414285714,2.912757819069224
2022-04-23,0.5478760666851082,3.1,0.0,0.45,13.3,22.0875,8116.790163932285,164944.0,1,40.65,31.281944333333314,23.120833142857144,1.6984158067238355
2022-04-24,0.6664917074049856,4.1,0.0,0.47,12.8,13.579167,8116.790163932285,164944.0,1,22.0875,30.674999999999983,24.573214142857143,2.7326160003604407
2022-04-25,0.7545648874456393,4.2,0.0,0.54,10.4,27.98,8116.790163932285,164944.0,1,13.579167,25.43888899999998,24.922618999999997,3.169172527271685
2022-04-26,0.683710914291459,3.8,1.3,0.8,11.5,48.020833,8116.790163932285,164944.0,1,27.98,21.21555566666665,24.54357142857143,2.598101474307544
2022-04-27,0.7406649812032906,9.6,0.0,0.43,11.6,20.179167,8116.790163932285,164944.0,1,48.020833,29.859999999999985,29.35904757142857,7.11038381955159
2022-04-28,0.6617648713143834,9.3,0.0,0.31,8.2,21.279167,8116.790163932285,164944.0,1,20.179167,32.05999999999998,28.82630957142857,6.154413303223767
2022-04-29,0.6871868651822902,7.7,0.0,0.21,10.4,26.904167,8116.790163932285,164944.0,1,21.279167,29.82638899999998,27.682262,5.291338861903635
2022-04-30,0.5130906376706348,3.6,0.0,0.27,12.9,20.9625,8116.790163932285,164944.0,1,26.904167,22.787500333333316,25.718571571428573,1.8471262956142853
2022-05-01,0.5610902272641072,3.8,0.0,0.46,13.6,21.933333,8116.790163932285,164944.0,1,20.9625,23.048611333333316,25.557857285714285,2.1321428636036073
2022-05-02,0.738136053234779,4.3,8.9,0.83,12.1,35.995833,8116.790163932285,164944.0,1,21.933333,23.266666666666648,26.751309571428575,3.17398502890955
2022-05-03,0.663622725806424,4.5,0.0,0.73,12.4,30.425,8116.790163932285,164944.0,1,35.995833,26.29722199999998,27.89642857142857,2.986302266128908
2022-05-04,0.7135369575829558,2.7,3.0,0.8,12.0,46.633333,8116.790163932285,164944.0,1,30.425,29.45138866666665,25.382738142857143,1.9265497854739806
2022-05-05,0.6424517100291144,4.1,0.0,0.5,17.2,28.75,8116.790163932285,164944.0,1,46.633333,37.68472199999998,29.161904714285715,2.6340520111193686
2022-05-06,0.6739717908233933,3.8,18.8,0.78,14.8,24.635294,8116.790163932285,164944.0,1,28.75,35.26944433333332,30.229166571428575,2.5610928051288946
2022-05-07,0.7246755389657457,8.9,26.9,0.76,10.0,15.5125,8116.790163932285,164944.0,1,24.635294,33.33954233333332,29.90504185714286,6.449612296795137
2022-05-08,0.748312801371397,8.0,0.5,0.43,10.4,10.9,8116.790163932285,164944.0,1,15.5125,22.965931333333316,29.126470428571427,5.986502410971176
2022-05-09,0.770431586959505,7.0,0.0,0.27,13.5,24.7125,8116.790163932285,164944.0,1,10.9,17.015931333333313,27.550279999999997,5.3930211087165345
2022-05-10,0.7844995142250899,6.4,0.0,0.33,15.4,26.683333,8116.790163932285,164944.0,1,24.7125,17.041666666666647,25.93837528571429,5.020796891040575
2022-05-11,0.7788371070312164,4.1,0.0,0.42,16.1,32.913636,8116.790163932285,164944.0,1,26.683333,20.765277666666645,25.403851428571432,3.193232138827987
2022-05-12,0.6525651281156386,4.2,0.0,0.74,17.1,31.354167,8116.790163932285,164944.0,1,32.913636,28.103156333333313,23.44389471428571,2.740773538085682
2022-05-13,0.6189550074499451,3.9,0.0,0.88,16.0,35.85,8116.790163932285,164944.0,1,31.354167,30.31704533333331,23.81591857142857,2.413924529054786
2022-05-14,0.5401438558261596,2.9,7.1,0.87,17.9,25.608333,8116.790163932285,164944.0,1,35.85,33.37260099999998,25.418019428571426,1.566417181895863
2022-05-15,0.50926826316094,3.1,0.5,0.78,18.8,20.695833,8116.790163932285,164944.0,1,25.608333,30.937499999999982,26.860281285714283,1.578731615798914
2022-05-16,0.8714397678693833,4.6,11.9,0.73,20.4,21.441667,8116.790163932285,164944.0,1,20.695833,27.38472199999998,28.259686,4.008622932199163
2022-05-17,0.5949231371604808,7.0,0.0,0.41,19.7,15.521053,8116.790163932285,164944.0,1,21.441667,22.581944333333315,27.79242414285714,4.164461960123366
2022-05-18,0.6324288488637314,4.9,0.0,0.44,17.8,21.704167,8116.790163932285,164944.0,1,15.521053,19.219517666666647,26.19781271428571,3.098901359432284
2022-05-19,0.8335004462450422,3.0,18.3,0.8,15.5,28.508333,8116.790163932285,164944.0,1,21.704167,19.555628999999982,24.596459999999997,2.5005013387351265
2022-05-20,0.6601692231400494,3.7,11.2,0.86,15.4,27.0375,8116.790163932285,164944.0,1,28.508333,21.911184333333313,24.189912285714286,2.442626125618183
2022-05-21,1.2542263788164936,2.6,0.0,0.67,21.2,24.1125,8116.790163932285,164944.0,1,27.0375,25.749999999999982,22.930983714285713,3.2609885849228832
2022-05-22,1.2958693704388953,3.8,0.0,0.57,27.8,14.9875,8116.790163932285,164944.0,1,24.1125,26.552777666666646,22.717293285714288,4.9243036076678015
2022-05-23,0.8348973348926148,5.0,0.0,0.45,21.0,25.025,8116.790163932285,164944.0,1,14.9875,22.045833333333317,21.90181714285714,4.174486674463074
2022-05-24,0.7022768280527337,5.1,0.0,0.58,17.4,30.823529,8116.790163932285,164944.0,1,25.025,21.374999999999982,22.413721857142857,3.5816118230689415
2022-05-25,0.8433324853118616,3.6,0.0,0.55,16.2,6.788889,8116.790163932285,164944.0,1,30.823529,23.612009666666648,24.59978985714286,3.0359969471227015
2022-05-26,0.733954366810941,4.5,0.0,0.67,16.4,12.142857,8116.790163932285,164944.0,1,6.788889,20.879139333333313,22.46903585714286,3.3027946506492345
2022-05-27,0.8788158740594351,4.4,4.1,0.82,20.2,9.8875,8116.790163932285,164944.0,1,12.142857,16.585091666666646,20.131110714285715,3.8667898458615144
2022-05-28,0.6532012635237993,3.5,6.9,0.74,20.4,14.891667,8116.790163932285,164944.0,1,9.8875,9.606415333333315,17.681110714285715,2.2862044223332973
