date,plant_nox_weighted
2020-01-01,0.6612759838005754
2020-01-02,0.7729822464094219
2020-01-03,0.6251289964841534
2020-01-04,0.44558088885258823
2020-01-05,0.5009066738821882
2020-01-06,0.8041285889621748
2020-01-07,0.84273433967677
2020-01-08,0.9067495064111066
2020-01-09,1.0888399693249482
2020-01-10,0.7449649605771804
2020-01-11,0.4351458264309541
2020-01-12,0.48065129431623427
2020-01-13,0.8802642651341486
2020-01-14,0.8394073464327853
2020-01-15,0.904207530352056
2020-01-16,0.9314553801340716
2020-01-17,1.1693293256111617
2020-01-18,0.8597979439804381
2020-01-19,0.6771043794336659
2020-01-20,1.0413278432148725
2020-01-21,1.0575710265117086
2020-01-22,0.9721676228766533
2020-01-23,0.8681511311740455
2020-01-24,0.6987580451299785
2020-01-25,0.5870645321514666
2020-01-26,0.5601956160057505
2020-01-27,0.8081502870713703
2020-01-28,0.6698912091720663
2020-01-29,0.755850977579699
2020-01-30,0.8686014295393958
2020-01-31,0.7966982111433919
2020-02-01,0.6083722561104996
2020-02-02,0.6030480483760995
2020-02-03,0.637251294223516
2020-02-04,0.5830902212519516
2020-02-05,0.6833624028721749
2020-02-06,0.7140831121950161
2020-02-07,0.6515506714277068
2020-02-08,0.5233566297614176
2020-02-09,0.5330568205038723
2020-02-10,0.6657349978140387
2020-02-11,0.6110858706780289
2020-02-12,0.6964774704480557
2020-02-13,0.6142205124207945
2020-02-14,0.8083247994929694
2020-02-15,0.8770617807047402
2020-02-16,0.6689384590128132
2020-02-17,0.6466737506299887
2020-02-18,0.7094835946833329
2020-02-19,0.7529390969542331
2020-02-20,0.9588070614791144
2020-02-21,0.8397888259007303
2020-02-22,0.6469409929437651
2020-02-23,0.49897581255689816
2020-02-24,0.594313871255149
2020-02-25,0.5396850289577902
2020-02-26,0.4954813599679237
2020-02-27,0.7265466181294943
2020-02-28,0.8356627576209614
2020-02-29,0.7549692419245514
2020-03-01,0.5997740523190375
2020-03-02,0.6267751226380766
2020-03-03,0.5205102951359183
2020-03-04,0.6816684290103585
2020-03-05,0.6751262892425282
2020-03-06,0.7294482201334977
2020-03-07,0.5860916332296731
2020-03-08,0.4988334593300553
2020-03-09,0.48429646122419284
2020-03-10,0.42639042896446233
2020-03-11,0.4871457379727984
2020-03-12,0.64249197049062
2020-03-13,0.48462501003816966
2020-03-14,0.40496622668681675
2020-03-15,0.28669919942445293
2020-03-16,0.4879342304905718
2020-03-17,0.4255075133232326
2020-03-18,0.46154819697309535
2020-03-19,0.5104281806982849
2020-03-20,0.3552491078438832
2020-03-21,0.3967307619187312
2020-03-22,0.4782251326515706
2020-03-23,0.6543514070904342
2020-03-24,0.4804558183980319
2020-03-25,0.6208582106677382
2020-03-26,0.49550017034138105
2020-03-27,0.6289882605694443
2020-03-28,0.454477483401392
2020-03-29,0.5385853074336552
2020-03-30,0.6261402575624225
2020-03-31,0.6308356560931477
2020-04-01,0.6035243445820826
2020-04-02,0.5742025693107321
2020-04-03,0.47228406556003527
2020-04-04,0.37765310567495314
2020-04-05,0.34788640912809854
2020-04-06,0.37365232703673434
2020-04-07,0.3691634447360129
2020-04-08,0.37671403095289735
2020-04-09,0.43502943456133
2020-04-10,0.5448055610457869
2020-04-11,0.5514455222269825
2020-04-12,0.3988417345633446
2020-04-13,0.48576175238162234
2020-04-14,0.4377319813776265
